stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
75	45.599	1.55318	1.86356	0.545421	0.823563	3.60711	1.62338	2.22198	4.80612	1.98375	0.717655	0.496007	1.05787	1.62484	0.966812	0.729123	0.230081	0.516593	stair	0	ground
76	46.271	-0.616811	1.66565	0.729761	0.775741	2.7787	1.62602	1.7089	3.00506	2.17899	0.925096	0.63938	1.16199	1.24965	0.968384	0.718365	0.204041	0.449858	stair	0	ground
77	46.79	1.19332	0.435468	0.267356	0.640548	2.13433	1.68067	1.26992	1.99237	2.18859	1.57808	1.09069	1.16711	0.928644	1.00093	0.69291	0.206438	0.319554	stair	0	ground
78	47.463	0.970127	1.279	0.568665	0.598441	1.36681	1.5748	0.867926	1.59254	0.872562	1.59292	1.10095	0.46531	0.634679	0.937884	0.539499	0.182266	0.148335	stair	0	ground
79	48.001	2.36219	-0.0512732	0.0212446	0.426489	1.96766	1.7331	1.13534	2.78031	1.92548	1.49087	1.03042	1.0268	0.830227	1.03216	0.580993	0.0185683	0	stair	0	up
80	48.712	0.0250643	1.72558	0.985682	0.514542	2.53095	1.57729	1.60462	1.3911	2.93588	1.54036	1.06462	1.56561	1.17339	0.939363	0.821518	0.0289086	0	stair	0	up
81	49.329	0.0929523	2.41071	0.962873	0.561164	3.01157	1.67504	1.79791	1.77219	0.688488	1.50643	1.04117	0.367149	1.31474	0.997581	0.836529	0.0221788	0.1499	stair	0	up
82	49.963	-0.317973	1.98521	0.861941	0.680081	3.00379	1.57978	1.9014	0.691397	0.591534	1.64712	1.13841	0.315446	1.39042	0.940847	0.928762	0.0353967	0.210029	stair	0	up
83	50.598	0.132602	3.02538	0.95801	0.75795	3.54054	1.62602	2.17743	1.47509	1.13357	1.99888	1.38153	0.604497	1.59227	0.968384	0.894708	0.098043	0.305589	stair	0	up
84	51.25	0.00280892	1.74121	0.998389	0.953379	3.38754	1.62338	2.08672	1.45564	1.29072	0.266397	0.18412	0.688299	1.52594	0.966812	0.887411	0.0670682	0.360675	stair	0	up
85	51.884	-0.013795	1.98699	0.993105	0.954864	3.66617	1.44718	2.53332	1.24273	0.246344	0.229715	0.158767	0.131367	1.85252	0.861876	0.915366	0.0759033	0.483636	stair	0	up
86	52.519	0.132048	1.88602	0.934567	0.949202	2.98781	1.62602	1.83751	0.78688	0.177387	0.237837	0.164381	0.0945947	1.34369	0.968384	0.918479	0.0725476	0.44865	stair	0	up
87	53.172	-0.281931	1.04785	0.787987	0.934411	2.74047	1.52905	1.79227	1.54404	0.934827	0.426628	0.294864	0.498514	1.31061	0.910636	0.829254	0.092347	0.509069	stair	0	up
88	53.768	-0.0880873	1.80258	0.953409	0.933491	3.18822	1.57729	2.02133	1.09644	0.77922	0.129344	0.0893958	0.415533	1.47811	0.939363	0.902634	0.0298928	0.609453	stair	0	up
89	54.383	-0.370542	1.99654	0.84346	0.902505	3.32504	1.57729	2.10808	1.14434	0.34264	0.159153	0.109998	0.182719	1.54155	0.939363	0.906058	0.0736245	0.67959	stair	0	up
90	55.056	-0.312077	1.79041	0.851567	0.874198	3.07064	1.48588	2.06654	1.48984	0.214259	0.14726	0.101779	0.114258	1.51117	0.884927	0.863523	0.0583116	0.734248	stair	0	up
91	55.748	-1.64606	0.975125	0.372016	0.761688	3.00816	1.48588	2.02449	1.59914	1.5634	0.494942	0.342079	0.83371	1.48043	0.884927	0.849741	0.0912952	0.715166	stair	0	ground
92	56.382	-0.877856	0.8912	0.503771	0.704845	1.7788	1.44509	1.23093	1.91927	0.77278	0.523976	0.362146	0.412099	0.900127	0.86063	0.622417	0.066006	0.695838	stair	0	ground
93	56.959	-0.65465	2.00217	0.753597	0.664882	2.68963	1.67785	1.60302	3.50744	1.13318	0.477206	0.329821	0.604286	1.17222	0.999255	0.671208	0.0540566	0.689423	stair	0	ground
94	57.651	-0.00212338	1.66087	0.998723	0.695935	1.86009	1.62602	1.14395	2.98244	0.736395	0.513653	0.355011	0.392696	0.836526	0.968384	0.537028	0.218959	0.678315	stair	0	ground
95	58.151	-1.83979	1.59078	0.463707	0.618363	2.913	1.7331	1.6808	3.28309	1.83901	0.631217	0.436266	0.980684	1.2291	1.03216	0.720069	0.199665	0.64967	stair	0	ground
96	58.766	-0.544875	1.63677	0.750246	0.694009	2.21596	1.7331	1.27861	2.69912	1.29574	0.493703	0.341223	0.690975	0.934996	1.03216	0.645164	0.191329	0.651947	stair	0	ground
97	59.303	-0.290431	2.04403	0.87559	0.768372	3.50244	1.79856	1.94735	4.55232	0.480212	0.432744	0.299091	0.256082	1.42402	1.07114	0.727381	0.139796	0.664187	stair	0	ground
98	59.996	0.290621	1.99809	0.873019	0.792257	2.0698	1.62602	1.27293	2.75107	0.582865	0.579794	0.400724	0.310824	0.93084	0.968384	0.608953	0.151896	0.647959	stair	0	ground
99	60.478	-0.843027	0.405865	0.32498	0.657508	3.02174	1.7331	1.74354	7.68878	1.95457	0.847971	0.586075	1.04231	1.27498	1.03216	0.540999	0.121219	0.589451	stair	0	ground
100	61.092	0.118688	1.08102	0.901068	0.744981	1.6592	1.67224	0.9922	0.93382	1.17504	0.5563	0.384487	0.626614	0.725556	0.995913	0.745983	0.244016	0.595966	stair	0	ground
101	61.764	1.22656	0.3544	0.224167	0.639765	1.26771	1.62866	0.778373	1.44405	1.3249	1.0108	0.698617	0.706526	0.569193	0.969961	0.525461	0.321734	0.522321	stair	0	ground
102	62.341	-0.161255	0.830171	0.837349	0.632117	2.33799	1.62602	1.43786	1.95717	1.4671	0.807891	0.558373	0.782359	1.05145	0.968384	0.736343	0.269528	0.502147	stair	0	ground
103	62.899	1.60045	0.504335	0.239614	0.505436	2.6094	1.73611	1.50301	2.42474	1.79158	0.889638	0.614873	0.955395	1.09909	1.03395	0.737401	0.24411	0.472892	stair	0	ground
104	63.494	0.258615	1.36721	0.840932	0.608626	2.52626	1.7331	1.45765	4.02197	1.59533	0.600929	0.415332	0.850738	1.06592	1.03216	0.61342	0.213485	0.500836	stair	0	ground
105	64.129	0.49792	0.375252	0.429757	0.514364	1.75147	1.68067	1.04213	1.40219	1.02042	0.557729	0.385474	0.544156	0.762064	1.00093	0.684821	0.217193	0.529258	stair	0	ground
