stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
63	35.06	0.18482	2.17693	0.921744	0.880061	2.43937	1.78571	1.36605	0.237311	0.718577	0.161598	1.1928	1.45189	1.22663	0.990291	0.961623	0.119569	0.211374	stair	0	up
64	35.6	-0.0386511	1.87793	0.979833	0.887244	2.47762	1.78571	1.38747	0.272229	0.373285	0.147039	1.08533	0.754223	1.24587	0.990291	0.957527	0.173005	0.219997	stair	0	up
65	36.16	0.0703258	1.91637	0.964601	0.912062	2.46507	1.78571	1.38044	0.15312	0.115559	0.108764	0.802814	0.233488	1.23956	0.990291	0.97541	0.175168	0.224887	stair	0	up
66	36.72	-0.178972	2.08535	0.92096	0.917505	2.42384	1.78571	1.35735	0.167578	0.301169	0.0757332	0.559005	0.608513	1.21882	0.990291	0.972219	0.181964	0.22337	stair	0	up
67	37.28	0.210258	2.23621	0.914056	0.940239	2.44167	1.85185	1.3185	0.11777	0.41744	0.0407381	0.300698	0.843439	1.18394	1.02697	0.980605	0.0600158	0.213512	stair	0	up
68	37.82	0.109277	1.56588	0.934766	0.942843	2.46845	1.78571	1.38233	0.19094	0.67789	0.0683725	0.504674	1.36968	1.24125	0.990291	0.969615	0.11419	0.220447	stair	0	up
69	38.38	0.572378	1.62219	0.739184	0.894713	2.41918	1.78571	1.35474	0.122663	0.466512	0.126684	0.935082	0.942589	1.21648	0.990291	0.979469	0.0540626	0.219455	stair	0	up
70	38.94	-0.0962208	1.86103	0.950838	0.891961	2.45152	1.85185	1.32382	0.217582	0.709979	0.136673	1.00881	1.43451	1.18871	1.02697	0.96506	0.174988	0.21177	stair	0	up
71	39.5	-0.21651	2.25368	0.91235	0.890239	2.44985	1.78571	1.37192	0.235885	0.410655	0.160192	1.18242	0.82973	1.2319	0.990291	0.962132	0.146483	0.216803	stair	0	up
72	40.06	-0.0793511	1.68823	0.955107	0.898449	2.42517	1.78571	1.3581	0.151694	0.581848	0.138734	1.02403	1.17563	1.21949	0.990291	0.974833	0.162583	0.217475	stair	0	ground
