time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.953	1.20871	0.009507	1.40971	1.30406	-0.193598	2.42419	0.337382	1.27445	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.36082	1.0465	0.314315	ground	0	ground	0	-1	1
0.972	1.04341	0.39308	1.33456	1.13306	0.189025	2.3373	0.63713	0.955832	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.40964	1.05161	0.358028	ground	0	ground	0	-1	1
0.992	1.20589	0.606204	1.35776	1.28906	0.400138	2.34869	0.904496	1.00184	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.45659	1.06652	0.390074	ground	0	ground	0	-1	1
1.014	1.45559	0.663974	0.9422	1.53107	0.455619	1.92347	1.07832	1.17855	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.47994	1.09307	0.386873	ground	0	ground	0	-1	1
1.032	1.49249	0.572639	0.233625	1.56013	0.362462	1.20882	1.02416	1.23145	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.46638	1.1185	0.347886	ground	0	ground	0	-1	1
1.052	1.57293	0.60572	-0.243991	1.63237	0.393565	0.727544	1.11137	1.25872	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.42944	1.14653	0.282912	ground	0	ground	0	-1	1
1.072	1.63333	0.561974	-0.70844	1.6843	0.34807	0.261779	1.11408	1.31028	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.37106	1.1752	0.195861	ground	0	ground	0	-1	1
1.092	1.71873	0.294482	-1.02556	1.76085	0.0801755	-0.0550602	0.947343	1.48646	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.30526	1.20457	0.100687	ground	0	ground	0	-1	1
1.112	1.72352	0.188889	-0.9555	1.75682	-0.0252905	0.0149208	0.874652	1.52382	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.24074	1.23219	0.00854877	ground	0	ground	0	-1	1
1.132	1.72146	0.230214	-0.68425	1.74599	0.0159544	0.28474	0.933024	1.47587	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.19294	1.25788	-0.0649446	ground	0	ground	0	-1	1
