dataset	stepIdx	gt	nSamples	trajAngle	aspectRatio	zRange	yRange	zDominance	netZ	netY	loopArea	rmsY	rmsZ
살살걸음	23	ground	27	67.9967	2.4997	5.7822	3.6278	0.6145	-1.0092	1.4546	6.2235	1.0319	1.8454
살살걸음	24	ground	32	54.8374	2.2408	5.0104	4.0879	0.5507	0.8499	-1.5526	4.0778	1.0674	1.3551
살살걸음	25	ground	28	60.1325	3.0556	5.2835	3.9956	0.5694	-0.3368	1.2154	4.6256	0.9678	1.4728
살살걸음	26	ground	30	55.3137	1.7268	4.0697	3.9261	0.5090	0.3066	-0.4655	3.1425	1.0736	1.2824
살살걸음	27	ground	28	65.6431	2.6766	6.1334	4.3243	0.5865	-0.9727	1.2882	7.1881	1.0151	1.7420
살살걸음	28	ground	32	68.6524	1.7259	4.6441	3.2698	0.5868	1.9620	-2.5304	0.7525	1.0421	1.5291
살살걸음	29	ground	26	57.7421	3.4219	5.8101	4.3890	0.5697	-2.3859	2.2157	7.0104	1.1160	1.6410
살살걸음	30	ground	31	66.6702	2.0183	5.3546	3.5367	0.6022	1.4515	-1.2308	5.3068	0.8766	1.3670
살살걸음	31	ground	28	65.6463	3.4065	5.5768	3.4770	0.6160	-1.1253	1.1221	4.6475	0.8266	1.5244
살살걸음	32	ground	31	62.9661	2.8027	6.1808	4.0910	0.6017	1.2626	-1.6392	1.9189	0.9470	1.5434
살살걸음	33	ground	26	57.2856	3.4676	5.8025	4.1733	0.5817	-1.0372	1.5307	5.0820	1.0783	1.5533
살살걸음	34	ground	32	72.7118	2.3639	5.2058	2.9718	0.6366	0.9977	-1.4171	1.6459	0.8147	1.5649
살살걸음	35	ground	26	61.7542	3.1462	4.9469	3.8013	0.5655	-1.2243	0.7494	4.7235	0.9319	1.5207
살살걸음	36	ground	32	73.8520	1.7588	4.1868	2.9446	0.5871	0.6946	-0.2632	4.6233	0.8306	1.3072
살살걸음	37	ground	28	62.3299	3.1990	5.6261	3.9728	0.5861	-0.4822	1.3814	3.4610	0.9729	1.6147
살살걸음	38	ground	31	77.0495	1.5391	5.3341	3.4955	0.6041	0.8149	-1.1542	6.3653	1.0128	1.4804
살살걸음	39	ground	27	66.7358	2.7580	5.2474	3.5981	0.5932	-0.8328	1.0077	6.1665	0.9103	1.6408
살살걸음	40	ground	31	72.6269	1.7138	5.5328	3.4522	0.6158	0.7895	-1.0939	4.8325	1.0109	1.5468
살살걸음	41	ground	29	65.5535	2.6388	5.3648	3.3077	0.6186	-0.4430	0.5583	6.1923	0.8706	1.4938
살살걸음	42	ground	31	71.0561	2.1473	5.9826	3.4646	0.6333	3.4329	-2.5236	6.4497	0.9651	1.6921
살살걸음	43	ground	27	71.6119	2.5294	6.1485	3.1307	0.6626	-3.8625	3.1307	5.4782	0.7930	1.5487
살살걸음	44	ground	31	64.1176	1.8937	4.9095	3.6800	0.5716	1.1408	-1.9270	3.2764	1.0011	1.4350
살살걸음	45	ground	28	65.7519	3.0447	4.9684	3.4804	0.5881	-0.9169	1.4392	5.9930	0.8246	1.4972
살살걸음	46	ground	31	54.2496	1.7903	3.6417	3.5798	0.5043	0.1727	-0.4119	5.6584	0.9325	1.0939
