time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.66	0.377498	0.140148	-0.561891	0.385396	0.37164	0.489479	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.13862	0.646399	0.492219	ground	0	ground	0	-1	1
1.681	0.394675	0.329426	-0.644509	0.400561	0.558114	0.404826	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.10193	0.648428	0.453501	ground	0	ground	0	-1	1
1.701	0.352208	0.240271	-0.565611	0.356303	0.466614	0.481306	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.0709	0.645361	0.425536	ground	0	ground	0	-1	1
1.718	0.646618	0.025654	-0.450696	0.647459	0.250737	0.59324	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.04701	0.647809	0.399206	ground	0	ground	0	-1	1
1.737	0.756358	-0.016273	-0.418723	0.753413	0.207766	0.622087	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.02577	0.654495	0.371273	ground	0	ground	0	-1	1
1.756	0.233338	0.004974	-0.120131	0.229242	0.227868	0.916075	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.02028	0.637932	0.382352	ground	0	ground	0	-1	1
1.775	-0.459177	-0.030388	0.181879	-0.460957	0.191543	1.21199	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.02987	0.630994	0.398875	ground	0	ground	0	-1	1
1.795	-0.30856	0.220278	0.182561	-0.308788	0.439998	1.20661	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.03871	0.626321	0.412385	ground	0	ground	0	-1	1
1.814	-0.084563	-0.234186	0.340195	-0.0843674	-0.0143933	1.35743	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.05464	0.599284	0.455358	ground	0	ground	0	-1	1
1.833	-0.410448	-0.281067	0.652869	-0.408201	-0.0609679	1.66175	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.085	0.589957	0.495041	ground	0	ground	0	-1	1
1.852	-0.253279	-0.260431	0.605794	-0.249777	-0.0401303	1.6066	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.11108	0.573108	0.53797	ground	0	ground	0	-1	1
1.872	0.123138	-0.085431	0.134753	0.126007	0.134195	1.12988	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.11202	0.553657	0.558362	ground	0	ground	0	-1	1
1.891	0.308568	0.177864	-0.394156	0.30988	0.395503	0.597969	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.08632	0.551096	0.53522	ground	0	ground	0	-1	1
1.911	0.465543	0.306304	-0.542517	0.46452	0.521323	0.44736	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.05437	0.558454	0.495914	ground	0	ground	0	-1	1
