time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.987	-0.129624	-1.49057	-0.690534	-0.738815	-1.59084	-2.13984	-1.74773	0.148543	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.77453	1.9226	-0.14807	ground	0	ground	0	-1	1
1.006	-0.186515	-1.09032	-1.00592	-0.791728	-1.18464	-2.44295	-1.42141	-0.0990666	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.80795	1.89772	-0.089762	ground	0	ground	0	-1	1
1.026	-0.765805	-0.980568	-0.649347	-1.36416	-1.06952	-2.07594	-1.60708	-0.6497	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.82135	1.8895	-0.0681486	ground	0	ground	0	-1	1
1.046	-0.953207	-0.685109	0.143127	-1.54381	-0.770187	-1.27705	-1.43519	-0.957476	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.79414	1.88129	-0.0871516	ground	0	ground	0	-1	1
1.066	-1.00331	-0.194779	0.127148	-1.58594	-0.278458	-1.28657	-1.02931	-1.23825	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.76876	1.86774	-0.0989759	ground	0	ground	0	-1	1
1.086	-0.632481	0.805176	-0.08638	-1.20904	0.71789	-1.49259	0.0457513	-1.40536	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.75495	1.84465	-0.0897027	ground	0	ground	0	-1	1
1.106	-0.436669	1.32971	0.314188	-1.00816	1.23621	-1.08657	0.60839	-1.47461	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.72153	1.83218	-0.110648	ground	0	ground	0	-1	1
1.141	-0.58865	1.12055	0.527014	-1.15434	1.02192	-0.869371	0.366961	-1.49738	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.67892	1.81766	-0.138732	ground	0	ground	1	2	2
1.146	-0.616875	0.603771	0.836836	-1.17665	0.502612	-0.556751	-0.0938869	-1.27605	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.62282	1.79075	-0.167933	ground	0	ground	0	-1	2
1.165	-0.893922	0.011247	1.45537	-1.44643	-0.0894626	0.0614759	-0.743727	-1.2438	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.54475	1.77367	-0.228922	ground	0	ground	0	-1	2
1.187	-0.864312	-0.747543	1.6764	-1.40973	-0.844011	0.281089	-1.37822	-0.894547	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.48157	1.76714	-0.285575	ground	0	ground	0	-1	2
1.205	-0.690588	-0.988248	1.80935	-1.22983	-1.07929	0.411971	-1.49822	-0.657796	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.42809	1.7606	-0.332511	ground	0	ground	0	-1	2
1.226	-0.387523	-1.83058	1.53537	-0.922132	-1.91202	0.137301	-2.1219	-0.0607582	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.36355	1.77871	-0.415159	ground	0	ground	0	-1	2
1.246	0.512517	-1.76257	2.56886	-0.0219813	-1.83479	1.16494	-1.70541	0.677136	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.35362	1.78152	-0.4279	ground	0	ground	0	-1	2
1.266	0.363759	-1.56794	1.75675	-0.169886	-1.63196	0.351067	-1.57403	0.463231	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.30349	1.77448	-0.470991	ground	0	ground	0	-1	2
1.286	0.529855	-0.312786	-0.431785	-0.00377061	-0.374918	-1.82828	-0.356432	0.116333	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.32973	1.7045	-0.374774	ground	0	ground	0	-1	2
1.307	0.781208	1.54124	-1.52066	0.246344	1.47171	-2.90258	1.47919	-0.196461	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.40837	1.69389	-0.285515	ground	0	ground	0	-1	2
1.326	0.824086	1.89101	-0.389257	0.287776	1.81238	-1.76231	1.82468	-0.195121	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.42607	1.70095	-0.274878	ground	0	ground	0	-1	2
1.346	0.298856	0.860683	0.687263	-0.236266	0.778138	-0.682366	0.69661	-0.41959	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.38888	1.65656	-0.267677	ground	0	ground	0	-1	2
1.367	-0.475983	0.081647	0.903009	-1.00605	-0.000893491	-0.464287	-0.227542	-0.979981	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.34265	1.62403	-0.281381	ground	0	ground	0	-1	2
1.386	-0.597035	-0.148213	1.30337	-1.12147	-0.2296	-0.0636091	-0.462706	-1.04705	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.2787	1.60007	-0.321368	ground	0	ground	0	-1	2
1.406	-0.456957	0.089724	1.61206	-0.976481	0.00829559	0.24386	-0.199431	-0.955935	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.22696	1.56889	-0.341932	ground	0	ground	0	-1	2
1.429	-0.709598	0.156372	1.00907	-1.22298	0.0745689	-0.357334	-0.164247	-1.21419	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.18348	1.55171	-0.368231	ground	0	ground	0	-1	2
1.446	-0.93865	0.190906	0.254961	-1.44477	0.108557	-1.10589	-0.132923	-1.44273	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.1796	1.54657	-0.366968	ground	0	ground	0	-1	2
1.467	-0.966008	0.014493	0.030288	-1.46477	-0.0675164	-1.32391	-0.292516	-1.43685	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.18681	1.54255	-0.35574	ground	0	ground	0	-1	2
1.486	-0.936432	-0.096092	0.262985	-1.42801	-0.177211	-1.08575	-0.395233	-1.38363	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.18176	1.53737	-0.355613	ground	0	ground	0	-1	2
1.506	-0.667825	0.266496	0.105451	-1.15361	0.18445	-1.23707	0.0448493	-1.1674	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.18453	1.51892	-0.334392	ground	0	ground	0	-1	2
1.527	-0.876397	0.559503	-0.801005	-1.35537	0.47507	-2.13281	0.337497	-1.396	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.23194	1.51478	-0.282843	ground	0	ground	0	-1	2
1.547	-1.18648	0.563278	-1.17596	-1.65713	0.476451	-2.49523	0.329117	-1.69256	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.29511	1.52526	-0.230152	ground	0	ground	0	-1	2
1.567	-1.38644	0.129358	-1.13372	-1.8478	0.0423181	-2.44072	-0.12008	-1.84438	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.35239	1.54141	-0.189023	ground	0	ground	0	-1	2
1.586	-1.58456	-0.326312	-0.874271	-2.03569	-0.411285	-2.17037	-0.532167	-2.00748	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.39328	1.56818	-0.174895	ground	0	ground	0	-1	2
1.608	-1.45904	-0.281451	-0.777779	-1.90062	-0.364592	-2.06351	-0.443664	-1.88373	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.4268	1.58653	-0.159738	ground	0	ground	0	-1	2
1.627	-1.32925	-0.179601	-0.75753	-1.76198	-0.261428	-2.03304	-0.314074	-1.75336	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.45711	1.59627	-0.139163	ground	0	ground	0	-1	2
1.646	-1.26851	-0.14767	-0.877358	-1.69273	-0.22835	-2.1421	-0.278937	-1.68513	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.49136	1.60186	-0.110503	ground	0	ground	0	-1	2
1.667	-1.24979	-0.295819	-0.663227	-1.66564	-0.374616	-1.91833	-0.376186	-1.66529	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.51271	1.60713	-0.0944233	ground	0	ground	0	-1	2
1.686	-1.2497	-0.432767	-0.509982	-1.65722	-0.509007	-1.75626	-0.481896	-1.66531	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.52488	1.61345	-0.0885705	ground	0	ground	0	-1	2
1.707	-1.09401	-0.481903	-0.3019	-1.49402	-0.555352	-1.54044	-0.513104	-1.50906	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.52566	1.61248	-0.0868151	ground	0	ground	0	-1	2
1.726	-1.11336	-0.393818	-0.498355	-1.50581	-0.46493	-1.72821	-0.394333	-1.52581	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.53579	1.61065	-0.0748612	ground	0	ground	0	-1	2
1.747	-1.15752	-0.172931	-0.813727	-1.54222	-0.242823	-2.03336	-0.150743	-1.55392	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.56067	1.60818	-0.0475107	ground	0	ground	0	-1	2
1.766	-0.979397	-0.037463	-0.692976	-1.35727	-0.106818	-1.90305	0.0018073	-1.36147	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.57779	1.59584	-0.0180562	ground	0	ground	0	-1	2
1.787	-0.806836	-0.133864	-0.47291	-1.17879	-0.202203	-1.67457	-0.090601	-1.19257	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.58263	1.57585	0.00677468	ground	0	ground	0	-1	2
1.806	-0.750993	-0.123788	-0.436385	-1.11733	-0.191167	-1.62985	-0.0853851	-1.13035	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.58499	1.55374	0.0312502	ground	0	ground	0	-1	2
1.827	-0.638364	-0.004033	-0.465915	-0.99968	-0.0710547	-1.65109	0.0604218	-1.00038	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.58829	1.52616	0.0621319	ground	0	ground	0	-1	2
1.846	-0.501723	-0.013324	-0.640398	-0.858724	-0.079944	-1.81644	0.0529707	-0.860809	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.5997	1.49297	0.106726	ground	0	ground	0	-1	2
1.868	-0.274398	-0.038731	-0.573478	-0.628242	-0.104824	-1.74077	0.00289337	-0.636921	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.60675	1.45017	0.156582	ground	0	ground	0	-1	2
1.886	-0.033796	-0.098485	-0.172534	-0.385702	-0.163755	-1.33313	-0.0961926	-0.407834	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.59307	1.39861	0.194458	ground	0	ground	0	-1	2
1.907	0.483795	-0.332817	0.358567	0.13123	-0.396097	-0.79802	-0.413932	0.0526692	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.55332	1.34955	0.203773	ground	0	ground	0	-1	2
1.927	0.37263	-0.224207	0.323429	0.0199645	-0.286049	-0.828992	-0.282936	-0.046584	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.5171	1.29641	0.220696	ground	0	ground	0	-1	2
1.947	0.147851	0.307545	-0.150993	-0.20379	0.244474	-1.2969	0.287183	-0.137202	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.50609	1.2475	0.258593	ground	0	ground	0	-1	2
1.967	-0.136583	0.74291	-0.465382	-0.485783	0.67644	-1.60323	0.782403	-0.285311	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.51095	1.22677	0.284184	ground	0	ground	0	-1	2
1.986	-0.392559	0.617794	-0.58849	-0.738051	0.548567	-1.71771	0.73571	-0.551702	1	1.99333	1.28295	0.557491	0	1.11865	2.61417	1.61031	1.80138	2.98649	99	3.01549e-314	0.361341	0.225075	1.52129	1.21141	0.309881	ground	0	ground	0	-1	2
