stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
97	55.147	-0.273497	0.743653	0.731114	0.737301	2.34234	1.92678	1.21567	1.88488	2.04298	19.7853	5.62061	0.908539	0.566962	1.12049	0.744291	0.348587	0.105964	stair	0	ground
98	55.821	-0.850257	1.80232	0.67946	0.73264	2.22959	1.67785	1.32883	1.77121	1.20558	16.018	4.55039	0.536137	0.619737	0.975725	0.737296	0.0891461	0	stair	0	ground
99	56.34	0.109572	1.75259	0.941158	0.763902	2.65945	1.79533	1.48131	2.02574	0.961116	2.12689	0.604207	0.42742	0.69085	1.04404	0.776826	0.204559	0	stair	0	ground
100	57.051	0.6904	0.273912	0.284049	0.646961	2.13173	1.52672	1.39628	1.07166	1.58866	1.17194	0.332924	0.706498	0.651195	0.887835	0.808829	0.26332	0	ground	0	ground
101	57.68	2.62972	3.28966	0.555744	0.638305	2.48037	1.73611	1.4287	1.5618	3.58548	2.50911	0.733864	1.50503	0.689312	1.00864	0.780918	0.193073	0	ground	0	down
102	58.226	-1.7693	1.7279	0.494081	0.590898	4.85471	1.44509	3.35946	3.63149	4.66803	3.13539	0.92471	1.7879	1.52611	0.853247	0.866471	0.219418	0	ground	0	down
103	58.765	0.179354	3.91125	0.956154	0.646237	4.47192	1.92678	2.32093	1.08407	2.92647	3.62758	1.06245	1.10748	1.04864	1.12221	0.948559	0.244512	0	ground	0	down
104	59.337	0.159787	3.97737	0.961377	0.650281	4.57666	1.7331	2.64073	2.40105	0.0689551	4.02454	1.15801	0.0289107	1.17052	1.00846	0.897139	0.267314	0	ground	0	down
105	59.897	-0.965103	2.87082	0.748404	0.743152	5.78161	1.8622	3.10473	1.44346	1.57792	2.88153	0.843542	0.684745	1.3263	1.0746	0.958581	0.0184335	0.114769	ground	0	down
106	60.415	0.569656	5.27325	0.902505	0.812504	5.81746	1.85529	3.13561	4.94281	2.85082	2.16831	0.658814	1.20847	1.29551	1.0631	0.872305	0.458253	0.159954	ground	0	down
107	60.915	2.53096	7.03275	0.735358	0.86076	6.74299	2	3.3715	4.14293	2.63487	3.34348	1.01427	1.10402	1.3403	1.12953	0.916484	0.206067	0.20504	stair	0	down
108	61.411	1.73787	4.17352	0.706013	0.810731	5.93193	2.08768	2.84139	4.25575	2.96719	3.47276	1.05348	1.24326	1.12956	1.17905	0.891468	0.150317	0.186171	stair	0	down
109	61.93	-0.432625	2.92808	0.871269	0.79271	5.77061	1.92308	3.00072	3.17978	2.50243	4.14719	1.25808	1.04853	1.1929	1.08609	0.91272	0.13023	0.187853	stair	0	down
110	62.467	2.72867	6.13457	0.692136	0.781456	5.84233	1.79533	3.25418	4.23611	4.50282	3.52282	1.06867	1.8867	1.29366	1.01394	0.889526	0.152785	0.214305	stair	0	down
111	62.987	0.401108	4.28583	0.91442	0.783839	5.87987	1.99601	2.94581	2.08624	2.97244	3.67606	1.11516	1.24546	1.17107	1.12728	0.942781	0.176214	0.203497	stair	0	down
112	63.54	2.21037	2.97559	0.573778	0.751523	4.24092	1.8622	2.27737	2.87784	2.23387	2.7369	0.830256	0.935998	0.905343	1.05171	0.86205	0.221192	0.128959	stair	0	ground
113	64.068	0.264864	2.37505	0.899669	0.790255	4.18473	1.73611	2.4104	1.51568	2.03609	3.30748	1.00335	0.853128	0.958228	0.980496	0.915376	0.189923	0	stair	0	ground
114	64.569	-0.28391	1.74626	0.860154	0.788031	2.48861	1.99601	1.24679	1.72748	0.834583	3.83096	1.16215	0.349693	0.495648	1.12728	0.781878	0.0754535	0	stair	0	ground
115	65.166	-0.529213	0.756598	0.58842	0.767288	2.69654	1.85529	1.45344	3.19587	1.01961	2.32773	0.706131	0.42722	0.577797	1.0478	0.694531	0.0574355	0	ground	0	ground
116	65.681	-1.64593	1.68141	0.505331	0.685471	2.00307	1.73611	1.15377	2.76892	1.44994	2.15734	0.677867	0.632348	0.484916	0.982412	0.591501	0.226854	0	ground	0	ground
117	66.242	-1.00038	-0.961354	0.490054	0.668726	2.70782	1.79211	1.51096	7.80247	2.72046	1.76925	0.581757	1.16473	0.659096	1.01267	0.483789	0.128044	0	ground	0	ground
118	66.815	-0.841213	2.7323	0.764598	0.641711	2.53236	1.73611	1.45864	6.16314	3.69708	1.76496	0.605769	1.49568	0.660289	0.982893	0.50961	0.15894	0	ground	0	ground
119	67.49	2.75019	2.69934	0.495335	0.568748	2.28902	1.85874	1.23149	3.40123	3.59155	4.29421	1.40718	1.39002	0.583277	1.04684	0.606356	0.137516	0	ground	0	ground
120	67.932	-0.288847	1.67602	0.852993	0.621662	2.05478	1.73611	1.18355	5.78764	3.2067	4.1823	1.32154	1.21186	0.586337	0.979956	0.421575	0.190608	0	ground	0	ground
121	68.561	0.120102	1.21724	0.910193	0.702634	1.94557	1.85529	1.04866	2.59053	0.614583	3.67655	1.14324	0.251574	0.545734	1.0423	0.593661	0.30662	0	ground	0	ground
122	69.058	-0.990172	1.52629	0.606522	0.725928	2.16046	1.7331	1.24658	3.84324	1.15248	2.23999	0.718336	0.49807	0.672351	0.976231	0.548281	0.270223	0	ground	0	ground
123	69.619	-0.72548	0.126014	0.147991	0.602607	2.01026	2.08333	0.964923	2.14947	1.42508	2.48862	0.814516	0.640478	0.546652	1.1535	0.652752	0.307425	0	ground	0	ground
124	70.274	-0.0834024	-0.040288	0.325714	0.568683	1.70932	1.48368	1.15208	1.68333	0.663265	0.683081	0.24239	0.320597	0.676165	0.836412	0.630996	0.153286	0	ground	0	ground
125	70.892	-0.541003	1.09452	0.669217	0.531927	1.32176	1.62866	0.811558	1.10683	1.2236	0.55654	0.214718	0.616633	0.502632	0.925724	0.61208	0.123316	0	ground	0	ground
126	71.405	0.341709	0.193983	0.362116	0.422312	0.945652	1.85185	0.510652	0.501398	1.26101	0.604911	0.252757	0.659528	0.33948	1.04708	0.640677	0.178455	0	ground	0	ground
