stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
57	33.561	1.21333	0.686372	0.361305	0.440813	1.44033	1.71821	0.838274	1.12298	1.37315	0.926046	0.740997	0.823078	0.972288	0.953737	0.707878	0.647004	0.0994898	0.45	ground	0	ground
58	34.202	0.149593	1.38931	0.902792	0.586489	1.4583	1.85874	0.784563	1.14622	1.27502	0.900669	0.741399	0.782709	0.918255	1.02847	0.788467	0.649537	0.12468	0.45	ground	0	ground
59	34.699	1.42145	0.700875	0.330238	0.533556	1.73647	1.66667	1.04188	1.43649	1.44623	0.639369	0.552476	0.897886	1.19324	0.929429	0.824704	0.676245	0.206441	0.9	ground	0	ground
60	35.315	0.629428	1.19521	0.655039	0.616152	1.49331	1.85185	0.80639	1.36664	0.933634	0.446033	0.410654	0.605078	0.930653	1.02933	0.849034	0.619958	0.197308	0.7	stair	0	ground
61	35.882	0.485798	0.812856	0.625921	0.575059	1.48357	1.66389	0.891628	1.04968	0.408442	0.301827	0.277886	0.264707	1.02903	0.924859	0.882234	0.675529	0.20098	0.9	stair	0	ground
62	36.481	-0.691181	1.50783	0.685685	0.639935	1.36796	1.78891	0.764687	1.01152	1.36684	0.571067	0.52577	0.885838	0.882524	0.994347	0.895112	0.649121	0.214187	0.5	stair	0	ground
63	37.064	0.982537	0.521754	0.346844	0.528745	1.3583	1.66667	0.81498	0.749286	1.94259	0.626361	0.576678	1.25898	0.940567	0.9264	0.843554	0.710511	0.137102	0.9	stair	0	ground
64	37.678	0.778134	0.250833	0.243771	0.511452	1.2564	1.61551	0.777714	1.41172	0.33938	0.549184	0.505623	0.219949	0.897558	0.897964	0.807148	0.52758	0.122778	0.5	stair	0	ground
65	38.275	1.41321	0.401266	0.221147	0.424674	1.43572	1.56006	0.920296	0.927885	0.652647	0.701489	0.645847	0.422974	1.06211	0.867145	0.818233	0.689316	0.113557	0.75	stair	0	ground
66	38.92	-1.2989	2.16279	0.62478	0.424445	1.68722	1.78571	0.944842	1.17171	3.23396	1.64124	1.51106	2.0959	1.09044	0.992571	0.818737	0.708038	0.0767451	0.6	stair	0	ground
67	39.521	-0.647776	1.21083	0.651471	0.417602	1.5102	1.6129	0.936322	1.61124	1.15334	1.57552	1.45055	0.74747	1.08061	0.896516	0.728409	0.582153	0.215368	0	stair	0	ground
68	40.176	1.15648	0.914643	0.441617	0.436557	1.05492	1.66389	0.634008	1.0959	1.8284	1.59541	1.46886	1.18497	0.731707	0.924859	0.726388	0.501424	0.167021	0	ground	0	up
69	40.82	0.111347	0.246004	0.688408	0.525485	1.64847	1.28535	1.28251	0.997421	1.24072	1.53517	1.35729	0.820164	1.41233	0.735448	0.847609	0.722193	0.114456	0.4	ground	0	up
70	41.68	-0.196486	0.75178	0.792793	0.639814	0.945376	1.35135	0.699578	0.551778	0.59209	1.07191	0.952687	0.416759	0.788497	0.791157	0.819353	0.611401	0.155931	0	ground	0	up
71	42.432	0.176886	0.577175	0.765421	0.667942	1.2878	1.42857	0.90146	0.868693	0.412182	0.458021	0.432736	0.312295	1.01441	0.850279	0.949726	0.655394	0.365323	0.8	ground	0	up
72	43.238	-0.491196	2.25205	0.820943	0.701837	1.24545	1.34953	0.922882	0.633814	1.8032	0.783372	0.759874	1.31795	1.03453	0.819355	0.952875	0.709115	0.30012	0.85	stair	0	up
73	43.9	0.44023	1.34806	0.753825	0.764278	1.14156	1.46843	0.777404	1.17783	1.29798	0.601716	0.583668	0.948689	0.871455	0.891545	0.949765	0.525236	0.177965	0.6	stair	0	up
74	44.66	0.4897	0.821404	0.626498	0.751896	1.0371	1.43062	0.72493	0.687417	0.528972	0.511613	0.496267	0.386623	0.812633	0.868587	0.958389	0.609853	0.179771	0.4	stair	0	up
75	45.32	0.142328	0.508524	0.781319	0.749601	1.15417	1.28205	0.90025	0.703804	0.467504	0.540215	0.524011	0.341697	1.00916	0.778387	0.974335	0.653586	0.116654	0.8	stair	0	up
76	46.022	-0.217627	0.663917	0.753129	0.747143	1.50483	1.31579	1.14367	0.963866	0.392065	0.544139	0.527817	0.286559	1.28203	0.798871	0.960612	0.701428	0.354661	1	stair	0	up
77	46.759	0.581595	0.0344515	0.0559234	0.594139	1.22447	1.35135	0.90611	1.16692	1.01734	0.267902	0.259866	0.743571	1.01573	0.820462	0.959182	0.562221	0.317415	0.6	stair	0	up
78	47.478	-0.315085	0.996126	0.759699	0.595314	1.67727	1.35135	1.24118	0.734684	1.31486	0.238068	0.230928	0.961025	1.39134	0.820462	0.983493	0.792858	0.260043	1	stair	0	up
79	48.216	1.06387	1.32979	0.555546	0.581123	1.8591	1.47059	1.26419	1.37115	1.41875	0.457391	0.443672	1.03696	1.41713	0.892856	0.956268	0.715964	0.176806	1	stair	0	up
80	49.079	-0.158958	1.82371	0.919826	0.608825	1.67239	1.25156	1.33624	0.769605	1.31881	0.657586	0.637861	0.963916	1.4979	0.759877	0.956259	0.784052	0.237805	0.85	stair	0	ground
81	49.678	0.429957	0.963573	0.691462	0.596491	1.23786	1.51286	0.818222	1.05888	1.04243	0.596626	0.57873	0.761907	0.917211	0.91852	0.975827	0.590554	0.182142	0.6	stair	0	ground
82	50.34	-0.453628	0.956895	0.678397	0.720986	1.10379	1.66667	0.662276	0.914285	0.88361	0.428869	0.416005	0.645827	0.742398	1.0119	0.908047	0.571187	0.15624	0.6	stair	0	ground
83	50.961	0.0577178	0.642094	0.917522	0.752551	1.24046	1.35135	0.917937	2.04872	0.600478	0.438146	0.425003	0.438887	1.02899	0.820462	0.88908	0.425256	0.396561	0.4	stair	0	ground
84	51.582	-0.498797	0.378815	0.431643	0.72777	1.1413	1.61551	0.706465	1.21925	0.615649	0.35497	0.344323	0.449976	0.791933	0.980843	0.838238	0.515231	0.283932	0.3	ground	0	ground
85	52.197	0.557936	0.605125	0.520286	0.647862	1.02177	1.66667	0.61306	1.02242	1.08069	0.240575	0.252734	0.806829	0.709417	1.0107	0.685528	0.503439	0.273328	0.2	ground	0	ground
86	52.999	0.42154	0.936558	0.689609	0.647491	1.38898	1.39082	0.998674	0.808099	0.358401	0.23657	0.268721	0.288723	1.13793	0.856838	0.748929	0.703438	0.165542	0.8	ground	0	up
87	53.719	0.364665	0.678792	0.650522	0.641916	1.38178	1.27877	1.08055	1.47734	0.263966	0.173908	0.214778	0.230821	1.20339	0.804888	0.729817	0.563406	0.174882	0.8	stair	0	up
88	54.402	0.538138	0.572798	0.515599	0.561532	1.396	1.47275	0.947883	0.693368	0.203292	0.18816	0.232379	0.177765	1.05565	0.926984	0.862389	0.737576	0.118641	0.9	stair	0	up
89	55.123	0.646219	0.933699	0.590979	0.593399	1.37682	1.38889	0.991309	1.38229	0.376737	0.0352806	0.0435718	0.329432	1.10401	0.874198	0.863211	0.577935	0.0686208	0.9	stair	0	up
90	55.917	-0.684552	1.59229	0.699341	0.62921	1.23743	1.56495	0.790717	0.987545	1.48482	0.356855	0.440718	1.29838	0.880612	0.985011	0.982804	0.607926	0.312603	0.8	stair	0	up
91	56.638	0.110985	0.434463	0.796523	0.650593	1.50595	1.10865	1.35836	1.81177	1.40479	0.393466	0.485934	1.2284	1.51279	0.697807	0.920484	0.554753	0.37265	0.9	stair	0	up
92	57.417	-0.610057	0.866175	0.586747	0.637838	1.11255	1.31234	0.847761	0.762607	0.840404	0.472719	0.583812	0.734879	0.944142	0.826013	0.919053	0.618766	0.500273	1	stair	0	up
93	58.219	0.295868	0.47462	0.615999	0.657918	1.02914	1.4245	0.722458	1.061	0.986922	0.443577	0.547821	0.863	0.804594	0.896613	0.943133	0.499515	0.124315	0.4	stair	0	up
94	58.966	0.172508	0.887547	0.837265	0.707175	1.37627	1.28041	1.07486	0.597574	0.43096	0.346864	0.42838	0.376847	1.19706	0.805918	0.965481	0.759702	0.182637	1	stair	0	up
95	59.747	0.192935	0.85767	0.816357	0.730578	1.60193	1.24533	1.28635	1.50795	0.036193	0.148523	0.183427	0.0316485	1.4326	0.783838	0.972915	0.629871	0.407424	0.9	stair	0	up
96	60.47	0.401681	0.75508	0.652753	0.701824	1.65212	1.31406	1.25727	0.801141	0.232593	0.153043	0.18901	0.203388	1.4002	0.827099	0.999481	0.773072	0.428327	1	stair	0	up
97	61.346	1.52225	0.51762	0.253751	0.635225	1.78594	1.21951	1.46447	1.50586	1.14546	0.288708	0.356557	1.00163	1.63097	0.767588	0.999483	0.679085	0.235094	0.9	stair	0	ground
98	62.066	-0.0618514	1.21035	0.951382	0.702301	1.32129	1.31406	1.0055	1.4118	1.72895	0.36155	0.446517	1.51185	1.11981	0.827099	0.951014	0.552778	0.198608	0.6	stair	0	ground
99	62.583	0.803059	1.28204	0.614858	0.65782	1.85326	1.5083	1.22871	1.15758	0.867876	0.387821	0.478961	0.758902	1.3684	0.949355	0.93026	0.747817	0.198381	1	stair	0	ground
100	63.231	-0.143424	1.64847	0.919959	0.67854	2.02586	1.72414	1.175	2.46114	1.01494	0.535773	0.661684	0.887497	1.30858	1.08521	0.928009	0.62505	0.073071	0.75	stair	0	ground
