stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
53	30.34	0.584797	1.97972	0.771966	0.736602	1.89524	1.9305	0.981735	1.26633	1.77571	0.515445	0.944345	1.57913	1.1085	1.04441	0.878181	0.739337	0.170798	0.6	ground	0	ground
54	30.832	-0.332991	0.887387	0.72714	0.714302	2.04185	1.78891	1.14139	2.44446	1.42672	0.516483	0.95136	1.23556	1.2526	0.970934	0.900153	0.62867	0.0996355	0.6	stair	0	ground
55	31.416	0.463298	1.77053	0.792599	0.731863	1.62592	1.85874	0.874742	0.926423	1.18913	0.500158	0.921289	1.0298	0.959968	1.00883	0.924142	0.740428	0.101331	0.7	stair	0	ground
56	31.938	0.236199	1.51522	0.865138	0.77112	1.91233	1.78253	1.07282	1.73417	0.341699	0.478614	0.881606	0.295917	1.17734	0.967472	0.929004	0.676976	0.108716	0.6	stair	0	ground
57	32.494	0.340913	2.74374	0.889481	0.809265	1.97979	2.18341	0.906742	1.00696	1.23298	0.468241	0.862498	1.06778	0.995085	1.18505	0.935225	0.795545	0.10578	0.7	stair	0	ground
58	32.992	-0.191861	1.67722	0.897349	0.834341	2.18463	1.66667	1.31078	2.7997	1.19219	0.453758	0.835822	1.03245	1.43848	0.904586	0.955957	0.628846	0.0834362	0.45	stair	0	ground
59	33.59	1.08496	2.76674	0.718316	0.832577	1.73595	2.09205	0.829784	1.51115	1.67849	0.468197	0.862418	1.4536	0.910629	1.13546	0.952217	0.665856	0.284084	0.6	stair	0	ground
60	34.108	-0.775865	1.49298	0.658035	0.805664	1.93913	1.5625	1.24104	2.56252	2.25503	0.724228	1.33403	1.95289	1.36196	0.84805	0.962518	0.594034	0.138024	0.1	stair	0	ground
61	34.672	0.845857	1.27464	0.601104	0.752857	1.88775	2.00803	0.940101	1.15486	1.63635	0.867115	1.59722	1.41711	1.03169	1.08986	0.920623	0.755091	0.142089	0.7	stair	0	ground
62	35.167	0.111129	1.16185	0.912701	0.757501	1.78146	1.78891	0.995835	2.09547	0.743333	0.79232	1.45945	0.643738	1.09286	0.970934	0.899312	0.601988	0.143099	0.5	stair	0	ground
63	35.748	0.344536	1.59821	0.822655	0.742562	1.53059	1.85529	0.824989	0.734046	0.494861	0.752011	1.3852	0.428557	0.905367	1.00696	0.90193	0.7613	0.168718	0.7	stair	0	ground
64	36.266	-0.307444	0.75047	0.709386	0.740776	1.98279	1.78891	1.10838	2.13606	1.06946	0.394307	0.726312	0.926169	1.21637	0.970934	0.897403	0.64792	0.162317	0.65	stair	0	ground
65	36.845	0.995978	1.27325	0.561093	0.721388	1.66461	1.93424	0.860601	1.0676	1.40435	0.302663	0.557505	1.21619	0.944448	1.04981	0.866671	0.721854	0.1548	0.7	stair	0	ground
66	37.444	0.208796	0.660347	0.759767	0.75312	1.61418	1.72712	0.934612	2.13021	0.997648	0.298384	0.549623	0.863978	1.02567	0.937395	0.889547	0.547498	0.131581	0.4	stair	0	ground
67	37.963	-0.149503	0.959319	0.865169	0.743614	1.68562	1.79211	0.940576	2.10729	0.46665	0.326525	0.601458	0.404126	1.03222	0.972674	0.89103	0.571899	0.19412	0.45	ground	0	ground
68	38.541	-0.733185	0.868704	0.542299	0.687543	2.00682	1.72712	1.16195	1.8904	0.590674	0.382706	0.726376	0.537803	1.24101	0.943301	0.867718	0.680361	0.190865	0.65	ground	0	ground
69	39.133	1.51861	2.13551	0.584411	0.662548	2.03631	1.78891	1.1383	2.2641	2.58367	0.91227	1.61346	2.07217	1.19007	0.979298	0.898118	0.646767	0.0902931	0.5	ground	0	ground
70	39.637	0.184219	1.25109	0.871652	0.72466	1.57488	1.72712	0.911856	2.34209	1.60087	0.813088	1.3777	1.24849	0.957802	0.950654	0.889136	0.477822	0.110813	0.1	ground	0	up
71	40.278	-0.234537	0.981754	0.80717	0.73414	1.39586	1.78891	0.780288	1.13883	0.497895	0.794365	1.30096	0.413599	0.834661	0.986179	0.893305	0.630945	0.118528	0.4	ground	0	up
72	40.837	-0.0998604	1.15223	0.920245	0.745155	1.76755	1.5625	1.13123	1.78286	0.217258	0.773817	1.23432	0.196586	1.18517	0.873475	0.931183	0.636004	0.0915208	0.6	ground	0	up
73	41.441	0.384692	1.24444	0.763866	0.789469	1.11721	1.85529	0.602178	0.530329	0.493247	0.550201	0.8885	0.472474	0.655067	1.03331	0.930609	0.701626	0.119175	0.5	ground	0	up
74	41.955	-1.00004	0.518451	0.341425	0.740871	1.62619	1.72712	0.941564	2.04827	1.5635	0.300718	0.511953	1.42666	1.02178	0.965602	0.943079	0.563519	0.117532	0.5	ground	0	up
75	42.534	0.0914799	0.656809	0.877747	0.74209	1.51996	1.85874	0.817736	0.983518	1.10025	0.293435	0.525871	1.00356	0.89751	1.03513	0.916135	0.69675	0.149098	1	ground	0	up
76	43.092	-0.0822841	0.812319	0.908021	0.762261	1.62854	1.66945	0.975497	1.42479	0.233189	0.293095	0.55144	0.230872	1.06315	0.936299	0.912487	0.649452	0.176268	1	stair	0	up
77	43.709	0.0787091	1.10174	0.933322	0.764876	1.39673	1.78891	0.780772	0.703602	0.331188	0.295996	0.556898	0.327897	0.850927	1.0033	0.895723	0.734398	0.0828913	0.7	stair	0	up
