stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
80	46.313	-0.72449	2.58076	0.780806	0.7716	2.36951	2.27273	1.04259	4.09073	2.37757	1.05284	0.126802	0.819039	0.70115	1.29489	0.9863	0.578504	0.180217	0.2	stair	0	ground
81	46.973	2.26641	3.04847	0.573573	0.701753	2.79183	1.47493	1.89286	3.5983	3.02724	1.76774	0.212902	1.04284	1.27297	0.84034	0.990498	0.684074	0.109125	0.4	ground	0	ground
82	47.491	0.0201869	1.37193	0.985498	0.759236	3.10725	1.66667	1.86435	5.15492	2.8029	1.50582	0.197528	0.968896	1.22276	0.954396	0.990509	0.64875	0.156854	0.4	ground	0	ground
83	48.067	0.222755	4.16705	0.949256	0.770243	2.05589	1.85874	1.10607	2.18822	2.80246	2.08626	0.295103	0.971779	0.745912	1.05757	0.990576	0.657665	0.221477	0.9	ground	0	ground
84	48.529	0.328686	1.46411	0.816662	0.821159	1.87426	2.00803	0.933381	1.96159	2.70502	2.07093	0.315222	0.943845	0.653676	1.12646	0.993625	0.630335	0.244059	0.5	ground	0	ground
85	49.163	-0.542798	0.385016	0.414971	0.747992	2.03495	1.66945	1.21893	1.68443	1.38705	2.71655	0.439257	0.510309	0.866337	0.942509	0.992451	0.710841	0.10438	0.9	ground	0	up
86	49.743	0.0764207	1.56098	0.953327	0.823943	2.42554	1.72712	1.40439	1.66663	1.32903	1.68282	0.293468	0.515293	0.998331	0.977503	0.945869	0.779208	0.199243	0.9	stair	0	up
87	50.3	0.218249	1.33096	0.859122	0.798668	2.04781	1.66667	1.22868	1.64933	0.270225	1.69615	0.295792	0.104772	0.873428	0.94329	0.939177	0.714428	0.154428	0.9	stair	0	up
88	50.828	-0.563375	2.09402	0.787997	0.766416	2.65424	1.92678	1.37755	1.70588	1.09233	0.453621	0.0791071	0.423521	0.979252	1.09051	0.938456	0.804977	0.0937883	0.9	stair	0	up
89	51.405	1.17531	4.10288	0.777327	0.758549	2.58649	2.00401	1.29066	1.72891	2.65679	1.9289	0.33638	1.0301	0.917484	1.13422	0.938391	0.794398	0.0804807	0.9	stair	0	up
90	51.923	-1.52013	3.88243	0.718628	0.81928	3.6068	1.72712	2.08834	2.25636	2.70444	2.16738	0.377969	1.04857	1.48453	0.977503	0.946879	0.852175	0.0397186	0.9	stair	0	up
91	52.484	-0.997995	1.63788	0.62138	0.752891	3.07655	2.08768	1.47367	1.32669	2.30448	2.23566	0.389877	0.893498	1.04758	1.18157	0.989073	0.876984	0.0367945	1	stair	0	up
92	53.021	-0.675949	2.748	0.802582	0.741583	3.07012	1.66945	1.839	1.98833	1.15589	1.76129	0.307152	0.448163	1.30728	0.944865	0.980536	0.825088	0.0871338	0.9	stair	0	up
93	53.565	-0.957154	1.70204	0.640058	0.711995	3.49836	1.72712	2.02555	1.17078	1.0831	1.94336	0.338903	0.419943	1.43989	0.977503	0.984275	0.912569	0.0845714	1	stair	0	up
94	54.16	0.0935001	1.18097	0.926635	0.741856	2.3738	1.85529	1.27948	1.6986	1.17277	1.22484	0.2136	0.454708	0.909536	1.05004	0.979934	0.766556	0.0916036	0.9	stair	0	up
95	54.748	0.320593	2.5999	0.890226	0.776176	2.22351	1.79211	1.24072	0.735568	1.43698	0.66084	0.115244	0.55715	0.881983	1.01429	0.968278	0.870467	0.238156	1	stair	0	up
96	55.333	-1.20001	2.60264	0.684427	0.788786	3.08262	1.72414	1.78792	1.51056	1.52061	0.73149	0.127565	0.589574	1.27097	0.975817	0.961889	0.862415	0.0754344	0.9	stair	0	ground
