time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.1	0.590509	0.144329	-2.26606	0.826248	0.835784	-1.39452	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.05827	1.25736	0.80091	ground	0	ground	0	-1	1
1.118	0.430177	0.190243	-1.39855	0.662587	0.87729	-0.524373	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.98157	1.24946	0.732114	ground	0	ground	0	-1	1
1.137	0.147879	-0.243946	-0.200827	0.378387	0.440885	0.669985	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.91599	1.21604	0.699958	ground	0	ground	0	-1	1
1.156	0.384905	-0.365793	-0.582213	0.612336	0.317443	0.287156	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.83455	1.18972	0.644831	ground	0	ground	0	-1	1
1.175	0.873328	-0.054961	-1.56027	1.09526	0.625134	-0.687444	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.7772	1.19329	0.583907	ground	0	ground	0	-1	1
1.195	1.65827	0.033578	-2.24553	1.8708	0.710105	-1.36585	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.75663	1.23368	0.522952	ground	0	ground	0	-1	1
1.213	1.65341	0.098183	-2.24439	1.85661	0.770836	-1.35788	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.73669	1.27251	0.464185	ground	0	ground	0	-1	1
1.233	1.03255	0.086294	-1.57167	1.22957	0.755152	-0.681735	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.68394	1.28103	0.402915	ground	0	ground	0	-1	1
1.253	0.616317	-0.276188	-0.496399	0.809268	0.390707	0.39157	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.61932	1.26191	0.357416	ground	0	ground	0	-1	1
1.272	0.336711	-0.122597	-0.089565	0.527014	0.541576	0.794412	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.57808	1.2366	0.341481	ground	0	ground	0	-1	1
1.291	0.545372	0.419612	0.072075	0.731996	1.07837	0.951271	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.54674	1.23993	0.306804	ground	0	ground	0	-1	1
1.31	1.01057	0.548367	-0.037352	1.1912	1.20109	0.837635	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.51128	1.26252	0.248765	ground	0	ground	0	-1	1
1.329	1.59305	0.04469	0.305906	1.76482	0.693922	1.17499	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.49447	1.29421	0.200258	ground	0	ground	0	-1	1
1.353	1.62283	-0.594472	0.10138	1.78562	0.054486	0.96561	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.46803	1.31882	0.149203	ground	0	ground	1	2	2
1.367	1.27491	-0.04697	-0.4479	1.43052	0.598978	0.414249	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.41534	1.33042	0.0849126	ground	0	ground	0	-1	2
1.386	0.321847	0.08067	0.650174	0.475068	0.722985	1.50476	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.41981	1.30716	0.11265	ground	0	ground	0	-1	2
1.405	0.527496	-0.692999	1.5944	0.677314	-0.0504306	2.43674	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.47066	1.27576	0.194895	ground	0	ground	0	-1	2
1.425	0.876739	-0.808546	1.49965	1.02142	-0.165148	2.33029	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.51364	1.26371	0.24993	ground	0	ground	0	-1	2
1.444	0.701963	-0.618528	1.4999	0.842415	0.0247459	2.31888	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.5539	1.24266	0.311239	ground	0	ground	0	-1	2
